director_id,director_name,rank,Label
0,阿尔弗雷德·希区柯克,54,director
1,查理·卓别林,53,director
2,张彻,50,director
3,阿涅斯·瓦尔达,45,director
4,王晶,41,director
5,罗伯托·罗西里尼,34,director
6,伍迪·艾伦,33,director
7,楚原,32,director
8,史蒂文·斯皮尔伯格,31,director
9,沟口健二,31,director
10,黑泽明,30,director
11,杜琪峰,30,director
12,让-吕克·戈达尔,28,director
13,李翰祥,26,director
14,克日什托夫·基耶斯洛夫斯基,25,director
15,桂治洪,23,director
16,张艺谋,22,director
17,徐克,22,director
18,何梦华,20,director
19,孙仲,19,director
20,陈凯歌,18,director
21,斯坦·布拉哈格,18,director
22,米开朗基罗·安东尼奥尼,18,director
23,吴宇森,17,director
24,刘家良,17,director
25,吕克·贝松,16,director
26,朱延平,16,director
27,邱礼涛,16,director
28,胡鹏,16,director
29,刘镇伟,15,director
30,比利·怀尔德,15,director
31,马丁·斯科塞斯,15,director
32,斯坦利·库布里克,15,director
33,袁和平,15,director
34,雷德利·斯科特,14,director
35,林超贤,14,director
36,英格玛·伯格曼,14,director
37,冯小刚,14,director
38,蒂姆·波顿,13,director
39,陈嘉上,13,director
40,王风,13,director
41,彭浩翔,13,director
42,张坚庭,13,director
43,小津安二郎,13,director
44,刘伟强,12,director
45,李安,12,director
46,程小东,12,director
47,叶伟信,12,director
48,元奎,12,director
49,麦兆辉,11,director
50,克林特·伊斯特伍德,11,director
51,宁浩,11,director
52,鲍学礼,11,director
53,贾樟柯,11,director
54,迈克尔·贝,11,director
55,埃里克·侯麦,11,director
56,洪金宝,11,director
57,宫崎骏,10,director
58,克里斯托弗·诺兰,10,director
59,王家卫,10,director
60,罗马,10,director
61,成龙,10,director
62,吕奇,10,director
63,大卫·林奇,10,director
64,午马,10,director
65,谢尔盖·爱森斯坦,10,director
66,迈克尔·艾普特,10,director
67,李仁港,10,director
68,尔冬升,10,director
69,本多猪四郎,10,director
70,邓衍成,10,director
71,大卫·芬奇,9,director
72,盖·里奇,9,director
73,昆汀·塔伦蒂诺,9,director
74,李力持,9,director
75,布莱恩·辛格,9,director
76,费德里科·费里尼,9,director
77,洪常秀,9,director
78,乔尔·科恩,9,director
79,程刚,9,director
80,陈木胜,9,director
81,华山,9,director
82,许鞍华,9,director
83,林岭东,9,director
84,拉斯·霍尔斯道姆,8,director
85,彼得·杰克逊,8,director
86,是枝裕和,8,director
87,阿斯哈·法哈蒂,8,director
88,吉尔莫·德尔·托罗,8,director
89,史蒂文·索德伯格,8,director
90,丁亮,8,director
91,拉斯·冯·提尔,8,director
92,彭顺,8,director
93,庄文强,8,director
94,罗伯特·泽米吉斯,7,director
95,罗伯·莱纳,7,director
96,姜文,7,director
97,拉娜·沃卓斯基,7,director
98,朗·霍华德,7,director
99,大卫·叶茨,7,director
100,周星驰,7,director
101,陈可辛,7,director
102,黄建新,7,director
103,郭子健,7,director
104,陈果,7,director
105,罗维,7,director
106,丹尼斯·维伦纽瓦,7,director
107,大卫·里恩,7,director
108,扎克·施奈德,7,director
109,三隅研次,7,director
110,阿伦·雷乃,7,director
111,神山健治,7,director
112,乔治·卢卡斯,7,director
113,牟敦芾,7,director
114,叶伟民,7,director
115,西蒙·韦斯特,7,director
116,韦家辉,7,director
117,张之亮,7,director
118,马楚成,7,director
119,霍耀良,7,director
120,布莱特·拉特纳,7,director
121,保罗·安德森,7,director
122,马伟豪,7,director
123,马克·森内特,7,director
124,乔·舒马赫,7,director
125,弗朗西斯·福特·科波拉,6,director
126,赛尔乔·莱昂内,6,director
127,奉俊昊,6,director
128,理查德·林克莱特,6,director
129,克里斯·雷纳德,6,director
130,温子仁,6,director
131,卡洛斯·沙尔丹哈,6,director
132,高畑勋,6,director
133,罗兰·艾默里奇,6,director
134,霍华德·霍克斯,6,director
135,弗朗索瓦·特吕弗,6,director
136,林德禄,6,director
137,谷德昭,6,director
138,保罗·托马斯·安德森,6,director
139,布鲁诺·杜蒙,6,director
140,吉姆·贾木许,6,director
141,林诣彬,6,director
142,布莱恩·德·帕尔玛,6,director
143,伊桑·科恩,6,director
