movie_id,movie_name,year,language,Label
0,肖申克的救赎,1994,英语,movie
1,霸王别姬,1993,汉语普通话,movie
2,阿甘正传,1994,英语,movie
3,泰坦尼克号,1997,"英语,意大利语,德语,俄语",movie
4,这个杀手不太冷,1994,"英语,意大利语,法语",movie
5,美丽人生,1997,"意大利语,德语,英语",movie
6,千与千寻,2001,日语,movie
7,辛德勒的名单,1993,"英语,希伯来语,德语,波兰语",movie
8,盗梦空间,2010,"英语,日语,法语",movie
9,忠犬八公的故事,2009,"英语,日语",movie
10,星际穿越,2014,英语,movie
11,楚门的世界,1998,英语,movie
12,海上钢琴师,1998,"英语,法语,意大利语",movie
13,三傻大闹宝莱坞,2009,"印地语,乌尔都语,英语",movie
14,机器人总动员,2008,英语,movie
15,放牛班的春天,2004,法语,movie
16,无间道,2002,粤语,movie
17,疯狂动物城,2016,"英语,挪威语",movie
18,大话西游之大圣娶亲,1995,"粤语,汉语普通话",movie
19,熔炉,2011,韩语,movie
20,教父,1972,"英语,意大利语,拉丁语",movie
21,控方证人,1957,"英语,德语",movie
22,当幸福来敲门,2006,"英语,粤语",movie
23,触不可及,2011,法语,movie
24,怦然心动,2010,英语,movie
25,龙猫,1988,日语,movie
26,末代皇帝,1987,"英语,汉语普通话,日语",movie
27,蝙蝠侠：黑暗骑士,2008,"英语,汉语普通话",movie
28,寻梦环游记,2017,"英语,西班牙语",movie
29,活着,1994,汉语普通话,movie
30,哈利·波特与魔法石,2001,英语,movie
31,指环王3：王者无敌,2003,"英语,昆雅语,古英语,辛达林语",movie
32,乱世佳人,1939,英语,movie
33,素媛,2013,韩语,movie
34,飞屋环游记,2009,英语,movie
35,摔跤吧！爸爸,2016,"印地语,英语",movie
36,我不是药神,2018,"汉语普通话,英语,上海话,印地语",movie
37,何以为家,2018,"阿拉伯语,阿姆哈拉语",movie
38,十二怒汉,1957,英语,movie
39,哈尔的移动城堡,2004,日语,movie
40,少年派的奇幻漂流,2012,"英语,泰米尔语,法语,日语,印地语,汉语普通话",movie
41,鬼子来了,2000,"汉语普通话,日语,唐山话",movie
42,大话西游之月光宝盒,1995,"粤语,汉语普通话",movie
43,猫鼠游戏,2002,"英语,法语",movie
44,天空之城,1986,日语,movie
45,天堂电影院,1988,意大利语,movie
46,指环王2：双塔奇兵,2002,"英语,辛达林语,古代英语",movie
47,闻香识女人,1992,英语,movie
48,钢琴家,2002,"英语,德语,俄语",movie
49,罗马假日,1953,"英语,意大利语,德语",movie
50,让子弹飞,2010,"汉语普通话,四川话,山西话",movie
51,海蒂和爷爷,2015,"南非语,德语,瑞士德语",movie
52,指环王1：护戒使者,2001,"英语,辛达林语",movie
53,黑客帝国,1999,英语,movie
54,大闹天宫,1961,汉语普通话,movie
55,辩护人,2013,韩语,movie
56,教父2,1974,"英语,意大利语,西班牙语,拉丁语,西西里语",movie
57,死亡诗社,1989,"英语,拉丁语",movie
58,狮子王,1994,"英语,斯瓦希里语,科萨语,祖鲁语",movie
59,绿皮书,2018,"英语,意大利语,俄语,德语",movie
60,搏击俱乐部,1999,英语,movie
61,饮食男女,1994,"汉语普通话,闽南语,湖南话",movie
62,美丽心灵,2001,英语,movie
63,本杰明·巴顿奇事,2008,"英语,俄语,法语",movie
64,窃听风暴,2006,德语,movie
65,情书,1995,日语,movie
66,穿条纹睡衣的男孩,2008,"英语,西班牙语",movie
67,两杆大烟枪,1998,英语,movie
68,西西里的美丽传说,2000,"意大利语,英语,拉丁语,古希腊语",movie
69,看不见的客人,2016,西班牙语,movie
70,拯救大兵瑞恩,1998,"英语,法语,德语,捷克语",movie
71,音乐之声,1965,"英语,德语",movie
72,飞越疯人院,1975,英语,movie
73,小鞋子,1997,波斯语,movie
74,阿凡达,2009,"英语,西班牙语",movie
75,哈利·波特与死亡圣器(下),2011,英语,movie
76,沉默的羔羊,1991,英语,movie
77,海豚湾,2009,"英语,日语",movie
78,致命魔术,2006,英语,movie
79,禁闭岛,2010,"英语,德语",movie
80,布达佩斯大饭店,2014,"英语,法语,德语",movie
81,美国往事,1984,"英语,法语,意大利语",movie
82,蝴蝶效应,2004,英语,movie
83,心灵捕手,1997,英语,movie
84,低俗小说,1994,"英语,西班牙语,法语",movie
85,春光乍泄,1997,"粤语,汉语普通话,西班牙语",movie
86,摩登时代,1936,英语,movie
87,七宗罪,1952,法语,movie
88,喜剧之王,1999,粤语,movie
89,致命ID,2003,英语,movie
90,杀人回忆,2003,"韩语,英语",movie
91,功夫,2004,"粤语,汉语普通话,手语",movie
92,被嫌弃的松子的一生,2006,日语,movie
93,加勒比海盗,2003,英语,movie
94,哈利·波特与阿兹卡班的囚徒,2004,英语,movie
95,超脱,2011,英语,movie
96,红辣椒,2006,日语,movie
97,狩猎,2012,"丹麦语,英语,波兰语",movie
98,请以你的名字呼唤我,2017,"英语,意大利语,法语,德语,希伯来语",movie
99,7号房的礼物,2013,韩语,movie
100,剪刀手爱德华,1990,英语,movie
101,勇敢的心,1995,"英语,法语,拉丁语,苏格兰盖尔语",movie
102,断背山,2005,英语,movie
103,唐伯虎点秋香,1993,粤语,movie
104,入殓师,2008,日语,movie
105,天使爱美丽,2001,"法语,俄语",movie
106,第六感,1999,"英语,拉丁语,西班牙语",movie
107,哈利·波特与密室,2002,英语,movie
108,重庆森林,1994,"粤语,汉语普通话,英语,印地语,日语",movie
109,爱在黎明破晓前,1995,"英语,德语,法语",movie
110,幽灵公主,1997,日语,movie
111,一一,2000,"汉语普通话,闽南语,英语,日语",movie
112,小森林,2014,日语,movie
113,蝙蝠侠：黑暗骑士崛起,2012,"英语,阿拉伯语",movie
114,阳光灿烂的日子,1994,汉语普通话,movie
115,菊次郎的夏天,1999,日语,movie
116,超能陆战队,2014,英语,movie
117,完美的世界,1993,英语,movie
118,无人知晓,2004,日语,movie
119,消失的爱人,2014,英语,movie
120,爱在日落黄昏时,2004,"英语,法语",movie
121,倩女幽魂,1987,粤语,movie
122,借东西的小人阿莉埃蒂,2010,日语,movie
123,甜蜜蜜,1996,"粤语,汉语普通话,英语",movie
124,侧耳倾听,1995,"日语,英语",movie
125,幸福终点站,2004,"英语,保加利亚语,西班牙语,俄语,汉语普通话,德语,法语",movie
126,萤火之森,2011,日语,movie
127,驯龙高手,2010,英语,movie
128,时空恋旅人,2013,英语,movie
129,玛丽和马克思,2009,"英语,意第绪语",movie
130,怪兽电力公司,2001,英语,movie
131,教父3,1990,"英语,意大利语,德语,拉丁语",movie
132,大鱼,2003,"英语,法语,俄语,粤语,汉语普通话",movie
133,一个叫欧维的男人决定去死,2015,"瑞典语,波斯语",movie
134,告白,2010,日语,movie
135,玩具总动员3,2010,"英语,西班牙语",movie
136,傲慢与偏见,2005,英语,movie
137,神偷奶爸,2010,英语,movie
138,阳光姐妹淘,2011,韩语,movie
139,釜山行,2016,韩语,movie
140,射雕英雄传之东成西就,1993,粤语,movie
141,寄生虫,2019,"韩语,英语",movie
142,被解救的姜戈,2012,"英语,法语,德语",movie
143,恐怖直播,2013,韩语,movie
144,未麻的部屋,1997,日语,movie
145,哪吒闹海,1979,汉语普通话,movie
146,血战钢锯岭,2016,"英语,日语",movie
147,我是山姆,2001,英语,movie
148,头号玩家,2018,"英语,日语,汉语普通话",movie
149,哈利·波特与火焰杯,2005,"英语,法语",movie
150,新世界,2013,"韩语,汉语普通话",movie
151,七武士,1954,日语,movie
152,喜宴,1993,"汉语普通话,英语",movie
153,模仿游戏,2014,"英语,德语",movie
154,黑客帝国3：矩阵革命,2003,"英语,法语",movie
155,花样年华,2000,"粤语,上海话,法语",movie
156,电锯惊魂,2004,英语,movie
157,头脑特工队,2015,英语,movie
158,三块广告牌,2017,英语,movie
159,卢旺达饭店,2004,"英语,法语",movie
160,你的名字。,2016,日语,movie
161,达拉斯买家俱乐部,2013,"英语,日语",movie
162,疯狂原始人,2013,英语,movie
163,上帝之城,2002,葡萄牙语,movie
164,谍影重重3,2007,"英语,法语,阿拉伯语,俄语,西班牙语",movie
165,风之谷,1984,日语,movie
166,英雄本色,1986,"粤语,汉语普通话,英语",movie
167,心迷宫,2014,汉语普通话,movie
168,纵横四海,1991,"粤语,汉语普通话,客家话,英语,法语",movie
169,惊魂记,1960,英语,movie
170,九品芝麻官,1994,粤语,movie
171,岁月神偷,2010,"粤语,汉语普通话,英语,上海话,法语",movie
172,海街日记,2015,日语,movie
173,记忆碎片,2000,英语,movie
174,忠犬八公物语,1987,日语,movie
175,荒蛮故事,2014,西班牙语,movie
176,绿里奇迹,1999,"英语,法语",movie
177,爱在午夜降临前,2013,"英语,希腊语,法语",movie
178,爆裂鼓手,2014,英语,movie
179,贫民窟的百万富翁,2008,"英语,印地语,法语,德语",movie
180,小偷家族,2018,日语,movie
181,真爱至上,2003,"英语,葡萄牙语,法语",movie
182,东邪西毒,1994,"粤语,汉语普通话",movie
183,无敌破坏王,2012,英语,movie
184,色，戒,2007,"汉语普通话,上海话,英语,粤语,日语,印地语",movie
185,疯狂的石头,2006,"汉语普通话,重庆话",movie
186,冰川时代,2002,"英语,克罗地亚语",movie
187,黑天鹅,2010,"英语,法语,意大利语",movie
188,你看起来好像很好吃,2010,日语,movie
189,雨中曲,1952,英语,movie
190,恐怖游轮,2009,英语,movie
191,2001太空漫游,1968,"英语,俄语",movie
192,雨人,1988,"英语,意大利语",movie
193,恋恋笔记本,2004,英语,movie
194,魔女宅急便,1989,日语,movie
195,萤火虫之墓,1988,日语,movie
196,城市之光,1984,粤语,movie
197,遗愿清单,2007,英语,movie
198,茶馆,1982,汉语普通话,movie
199,可可西里,2004,"汉语普通话,藏语",movie
200,大佛普拉斯,2017,"闽南语,汉语普通话",movie
201,虎口脱险,1966,"法语,英语,德语",movie
202,无间道2,2003,"粤语,英语,汉语普通话,泰语",movie
203,牯岭街少年杀人事件,1991,"汉语普通话,闽南语,上海话,粤语",movie
204,人工智能,2001,英语,movie
205,初恋这件小事,2010,"泰语,印度尼西亚语,英语",movie
206,源代码,2011,英语,movie
207,海边的曼彻斯特,2016,英语,movie
208,东京教父,2003,"日语,西班牙语,英语",movie
209,罗生门,1950,日语,movie
210,背靠背，脸对脸,1994,汉语普通话,movie
211,终结者2：审判日,1991,"英语,西班牙语",movie
212,二十二,2015,汉语普通话,movie
213,奇迹男孩,2017,英语,movie
214,小丑,2019,英语,movie
215,青蛇,1993,"粤语,汉语普通话",movie
216,房间,2015,英语,movie
217,波西米亚狂想曲,2018,英语,movie
218,新龙门客栈,1992,"汉语普通话,粤语",movie
219,疯狂的麦克斯4：狂暴之路,2015,"英语,俄语",movie
220,无耻混蛋,2009,"英语,德语,法语,意大利语",movie
221,魂断蓝桥,1940,"英语,法语",movie
222,血钻,2006,"英语,门德语,南非语",movie
223,步履不停,2008,日语,movie
224,黑客帝国2：重装上阵,2003,"英语,法语",movie
225,千钧一发,1997,"英语,世界语",movie
