movie_name,country,Label
肖申克的救赎,美国,moviecountry
霸王别姬,中国,moviecountry
阿甘正传,美国,moviecountry
泰坦尼克号,加拿大,moviecountry
这个杀手不太冷,美国,moviecountry
美丽人生,意大利,moviecountry
千与千寻,日本,moviecountry
辛德勒的名单,美国,moviecountry
盗梦空间,英国,moviecountry
忠犬八公的故事,英国,moviecountry
星际穿越,加拿大,moviecountry
楚门的世界,美国,moviecountry
海上钢琴师,意大利,moviecountry
三傻大闹宝莱坞,印度,moviecountry
机器人总动员,美国,moviecountry
放牛班的春天,德国,moviecountry
无间道,中国,moviecountry
疯狂动物城,美国,moviecountry
大话西游之大圣娶亲,中国,moviecountry
熔炉,韩国,moviecountry
教父,美国,moviecountry
控方证人,美国,moviecountry
当幸福来敲门,美国,moviecountry
触不可及,法国,moviecountry
怦然心动,美国,moviecountry
龙猫,日本,moviecountry
末代皇帝,法国,moviecountry
蝙蝠侠：黑暗骑士,英国,moviecountry
寻梦环游记,美国,moviecountry
活着,中国,moviecountry
哈利·波特与魔法石,英国,moviecountry
指环王3：王者无敌,新西兰,moviecountry
乱世佳人,美国,moviecountry
素媛,韩国,moviecountry
飞屋环游记,美国,moviecountry
摔跤吧！爸爸,印度,moviecountry
我不是药神,中国,moviecountry
何以为家,英国,moviecountry
十二怒汉,美国,moviecountry
哈尔的移动城堡,日本,moviecountry
少年派的奇幻漂流,加拿大,moviecountry
鬼子来了,中国,moviecountry
大话西游之月光宝盒,中国,moviecountry
猫鼠游戏,加拿大,moviecountry
天空之城,日本,moviecountry
天堂电影院,法国,moviecountry
指环王2：双塔奇兵,新西兰,moviecountry
闻香识女人,美国,moviecountry
钢琴家,德国,moviecountry
罗马假日,美国,moviecountry
让子弹飞,中国,moviecountry
海蒂和爷爷,瑞士,moviecountry
指环王1：护戒使者,美国,moviecountry
黑客帝国,美国,moviecountry
大闹天宫,中国,moviecountry
辩护人,韩国,moviecountry
教父2,美国,moviecountry
死亡诗社,美国,moviecountry
狮子王,美国,moviecountry
绿皮书,中国,moviecountry
搏击俱乐部,意大利,moviecountry
饮食男女,美国,moviecountry
美丽心灵,美国,moviecountry
本杰明·巴顿奇事,美国,moviecountry
