movie_name,director,Label
肖申克的救赎,弗兰克·德拉邦特,direct
霸王别姬,陈凯歌,direct
阿甘正传,罗伯特·泽米吉斯,direct
泰坦尼克号,詹姆斯·卡梅隆,direct
这个杀手不太冷,吕克·贝松,direct
美丽人生,罗伯托·贝尼尼,direct
千与千寻,宫崎骏,direct
辛德勒的名单,史蒂文·斯皮尔伯格,direct
盗梦空间,克里斯托弗·诺兰,direct
忠犬八公的故事,拉斯·霍尔斯道姆,direct
星际穿越,克里斯托弗·诺兰,direct
楚门的世界,彼得·威尔,direct
海上钢琴师,朱塞佩·托纳多雷,direct
三傻大闹宝莱坞,拉吉库马尔·希拉尼,direct
机器人总动员,安德鲁·斯坦顿,direct
放牛班的春天,克里斯托夫·巴拉蒂,direct
无间道,刘伟强,direct
无间道,麦兆辉,direct
疯狂动物城,拜伦·霍华德,direct
疯狂动物城,瑞奇·摩尔,direct
疯狂动物城,杰拉德·布什,direct
大话西游之大圣娶亲,刘镇伟,direct
熔炉,黄东赫,direct
教父,弗朗西斯·福特·科波拉,direct
控方证人,比利·怀尔德,direct
当幸福来敲门,加布里埃莱·穆奇诺,direct
触不可及,奥利维埃·纳卡什,direct
触不可及,埃里克·托莱达诺,direct
怦然心动,罗伯·莱纳,direct
龙猫,宫崎骏,direct
末代皇帝,贝纳尔多·贝托鲁奇,direct
蝙蝠侠：黑暗骑士,克里斯托弗·诺兰,direct
寻梦环游记,李·昂克里奇,direct
寻梦环游记,阿德里安·莫利纳,direct
活着,张艺谋,direct
哈利·波特与魔法石,克里斯·哥伦布,direct
指环王3：王者无敌,彼得·杰克逊,direct
乱世佳人,维克多·弗莱明,direct
乱世佳人,乔治·库克,direct
乱世佳人,山姆·伍德,direct
素媛,李濬益,direct
飞屋环游记,彼特·道格特,direct
飞屋环游记,鲍勃·彼德森,direct
摔跤吧！爸爸,涅提·蒂瓦里,direct
我不是药神,文牧野,direct
何以为家,娜丁·拉巴基,direct
十二怒汉,西德尼·吕美特,direct
哈尔的移动城堡,宫崎骏,direct
少年派的奇幻漂流,李安,direct
鬼子来了,姜文,direct
大话西游之月光宝盒,刘镇伟,direct
猫鼠游戏,史蒂文·斯皮尔伯格,direct
天空之城,宫崎骏,direct
天堂电影院,朱塞佩·托纳多雷,direct
指环王2：双塔奇兵,彼得·杰克逊,direct
闻香识女人,马丁·布莱斯特,direct
钢琴家,罗曼·波兰斯基,direct
罗马假日,威廉·惠勒,direct
让子弹飞,姜文,direct
海蒂和爷爷,阿兰·葛斯彭纳,direct
指环王1：护戒使者,彼得·杰克逊,direct
黑客帝国,莉莉·沃卓斯基,direct
黑客帝国,拉娜·沃卓斯基,direct
大闹天宫,万籁鸣,direct
辩护人,杨宇硕,direct
教父2,弗朗西斯·福特·科波拉,direct
死亡诗社,彼得·威尔,direct
狮子王,罗杰·阿勒斯,direct
狮子王,罗伯·明可夫,direct
绿皮书,彼得·法雷里,direct
搏击俱乐部,大卫·芬奇,direct
饮食男女,李安,direct
美丽心灵,朗·霍华德,direct
本杰明·巴顿奇事,大卫·芬奇,direct
窃听风暴,弗洛里安·亨克尔·冯·多纳斯马尔克,direct
情书,岩井俊二,direct
穿条纹睡衣的男孩,马克·赫尔曼,direct
两杆大烟枪,盖·里奇,direct
西西里的美丽传说,朱塞佩·托纳多雷,direct
