movie_name,scriptwriter,Label
肖申克的救赎,弗兰克·德拉邦特,writescript
肖申克的救赎,斯蒂芬·金,writescript
霸王别姬,芦苇,writescript
霸王别姬,李碧华,writescript
阿甘正传,艾瑞克·罗斯,writescript
阿甘正传,温斯顿·格鲁姆,writescript
泰坦尼克号,詹姆斯·卡梅隆,writescript
这个杀手不太冷,吕克·贝松,writescript
美丽人生,温琴佐·切拉米,writescript
美丽人生,罗伯托·贝尼尼,writescript
千与千寻,宫崎骏,writescript
辛德勒的名单,托马斯·肯尼利,writescript
辛德勒的名单,斯蒂文·泽里安,writescript
盗梦空间,克里斯托弗·诺兰,writescript
忠犬八公的故事,斯蒂芬·P·林赛,writescript
忠犬八公的故事,新藤兼人,writescript
星际穿越,乔纳森·诺兰,writescript
星际穿越,克里斯托弗·诺兰,writescript
楚门的世界,安德鲁·尼科尔,writescript
海上钢琴师,亚利桑德罗·巴里克,writescript
海上钢琴师,朱塞佩·托纳多雷,writescript
三傻大闹宝莱坞,维德胡·维诺德·乔普拉,writescript
三傻大闹宝莱坞,拉吉库马尔·希拉尼,writescript
三傻大闹宝莱坞,阿希贾特·乔希,writescript
机器人总动员,安德鲁·斯坦顿,writescript
机器人总动员,吉姆·里尔顿,writescript
机器人总动员,彼特·道格特,writescript
放牛班的春天,乔治·沙普罗,writescript
放牛班的春天,勒·惠勒,writescript
放牛班的春天,诺埃-诺尔,writescript
放牛班的春天,克里斯托夫·巴拉蒂,writescript
放牛班的春天,菲利普·洛佩斯-屈瓦尔,writescript
无间道,麦兆辉,writescript
无间道,庄文强,writescript
疯狂动物城,拜伦·霍华德,writescript
疯狂动物城,瑞奇·摩尔,writescript
疯狂动物城,杰拉德·布什,writescript
疯狂动物城,吉姆·里尔顿,writescript
疯狂动物城,乔西·特立尼达,writescript
疯狂动物城,菲尔·约翰斯顿,writescript
疯狂动物城,珍妮弗·李,writescript
大话西游之大圣娶亲,刘镇伟,writescript
熔炉,黄东赫,writescript
熔炉,孔枝泳,writescript
教父,马里奥·普佐,writescript
教父,弗朗西斯·福特·科波拉,writescript
控方证人,阿加莎·克里斯蒂,writescript
控方证人,比利·怀尔德,writescript
控方证人,哈里·库尼兹,writescript
当幸福来敲门,斯蒂夫·康拉德,writescript
触不可及,奥利维埃·纳卡什,writescript
触不可及,埃里克·托莱达诺,writescript
怦然心动,罗伯·莱纳,writescript
怦然心动,安德鲁·沙因曼,writescript
怦然心动,文德琳·范·德拉安南,writescript
龙猫,宫崎骏,writescript
末代皇帝,贝纳尔多·贝托鲁奇,writescript
末代皇帝,马克·派普罗,writescript
蝙蝠侠：黑暗骑士,乔纳森·诺兰,writescript
蝙蝠侠：黑暗骑士,克里斯托弗·诺兰,writescript
