movie_name,film_type,Label
肖申克的救赎,剧情,movietype
肖申克的救赎,犯罪,movietype
霸王别姬,剧情,movietype
霸王别姬,爱情,movietype
霸王别姬,同性,movietype
阿甘正传,剧情,movietype
阿甘正传,爱情,movietype
泰坦尼克号,剧情,movietype
泰坦尼克号,爱情,movietype
泰坦尼克号,灾难,movietype
这个杀手不太冷,剧情,movietype
这个杀手不太冷,动作,movietype
这个杀手不太冷,犯罪,movietype
美丽人生,剧情,movietype
美丽人生,喜剧,movietype
美丽人生,爱情,movietype
美丽人生,战争,movietype
千与千寻,剧情,movietype
千与千寻,动画,movietype
千与千寻,奇幻,movietype
辛德勒的名单,剧情,movietype
辛德勒的名单,历史,movietype
辛德勒的名单,战争,movietype
盗梦空间,剧情,movietype
盗梦空间,科幻,movietype
盗梦空间,悬疑,movietype
盗梦空间,冒险,movietype
忠犬八公的故事,剧情,movietype
星际穿越,剧情,movietype
星际穿越,科幻,movietype
星际穿越,冒险,movietype
楚门的世界,剧情,movietype
楚门的世界,科幻,movietype
海上钢琴师,剧情,movietype
海上钢琴师,音乐,movietype
三傻大闹宝莱坞,剧情,movietype
三傻大闹宝莱坞,喜剧,movietype
三傻大闹宝莱坞,爱情,movietype
三傻大闹宝莱坞,歌舞,movietype
机器人总动员,科幻,movietype
机器人总动员,动画,movietype
机器人总动员,冒险,movietype
放牛班的春天,剧情,movietype
放牛班的春天,喜剧,movietype
放牛班的春天,音乐,movietype
无间道,剧情,movietype
无间道,惊悚,movietype
无间道,犯罪,movietype
疯狂动物城,喜剧,movietype
疯狂动物城,动画,movietype
疯狂动物城,冒险,movietype
大话西游之大圣娶亲,喜剧,movietype
大话西游之大圣娶亲,爱情,movietype
大话西游之大圣娶亲,奇幻,movietype
大话西游之大圣娶亲,古装,movietype
熔炉,剧情,movietype
教父,剧情,movietype
教父,犯罪,movietype
控方证人,剧情,movietype
控方证人,悬疑,movietype
控方证人,犯罪,movietype
当幸福来敲门,剧情,movietype
当幸福来敲门,家庭,movietype
当幸福来敲门,传记,movietype
触不可及,剧情,movietype
触不可及,喜剧,movietype
怦然心动,剧情,movietype
怦然心动,喜剧,movietype
