喜马拉雅 Himalaya - l'enfance d'un chef,1999,埃里克·瓦力 / 米歇尔·德巴,纳塔莉·阿祖莱 / 奥利佛·达扎特 / 路易·加德尔 / 让-克洛德·吉耶博 / 埃里克·瓦力 / 雅克·贝汉,蒂伦·洛迪普 / 古尔戈恩·基亚普 / 勒哈帕·察姆雀 / 卡尔马·旺格尔 / 卡尔马·登辛 / Labrang Tundup / Jampa Kalsang Tamang / 策林·多吉 / Rapke Gurung / 彭巴·比卡 / 卡尔玛·切旺 / Tenzen Charka / Yangzom / Gyalsen Gurung / 朴蒂·比卡 / 桑莫·古隆 / Karma Angbu Gurung,剧情 / 冒险,法国 / 瑞士 / 英国 / 尼泊尔,藏语,雪岭传奇 / 天地人三部曲之喜马拉雅 / Caravan / Himalaya / हिमालय
火线特攻 Righteous Kill,2008,乔恩·阿维奈,罗赛·格维茨,罗伯特·德尼罗 / 阿尔·帕西诺 / 50分 / 卡拉·古奇诺 / 约翰·雷吉扎莫 / 唐尼·沃尔伯格 / 布莱恩·丹内利 / 特里尔比·格洛弗,剧情 / 悬疑 / 犯罪,美国,英语 / 西班牙语,正义杀戮 / 世纪交锋(台) / 正当杀人 / 火线特工
弯刀 Machete,2010,伊桑·曼尼奎斯 / 罗伯特·罗德里格兹,罗伯特·罗德里格兹 / 阿尔瓦罗·罗德里格斯,丹尼·特雷霍 / 罗伯特·德尼罗 / 杰西卡·阿尔芭 / 史蒂文·西格尔 / 米歇尔·罗德里格兹 / 杰夫·法赫 / 切奇·马林 / 唐·约翰逊 / 谢伊·惠格姆 / 琳赛·洛翰 / 达里尔·沙巴拉 / 阿若·希利 / 汤姆·萨维尼 / 比利·布莱尔 / 费利克斯·萨贝茨 / 伊莱克特拉·阿维兰 / 埃莉斯·阿维兰 / 玛西·麦迪森 / 梅若·利尔 / 亚历杭德罗·安东尼奥 / 胡安·加布里·帕雷哈 / 艾丽西亚·雷切尔·马雷克 / 杰森·道格拉斯 / 布伦特·斯米加 / 克里斯·华纳 / 吉姆·亨利 / 蒂娜·罗德里格斯 / 迪图·拉里瓦 / 秦依凌 / 尼姆罗德·安陶尔 / 埃德加·阿雷拉 / 罗丝·麦高恩 / D.J. Castillo / Tom Holcomb / Mark E. Howell / 斯泰西·基齐 / 詹姆士·帕克斯 / Jaime De La Rosa / 海尔斯·杨,动作 / 惊悚 / 犯罪,美国,英语,攞命．弯刀．罪恶城(港) / 绝煞刀锋(台) / 大砍刀 / 玛挲迪 / 马歇蒂 / 杀千刀
马卓,2009,杨小雄,饶雪漫,陈意涵 / 段博文,剧情 / 家庭,中国大陆,汉语普通话,离歌
将爱情进行到底,2011,张一白,沈巍 / 邢爱娜 / 某小丫,徐静蕾 / 李亚鹏 / 王学兵 / 何洁 / 程伊 / 崔达治 / 岳小军 / 冯瓅 / 宁浩 / 徐冬冬 / 陈明 / 王芸 / 曹卫宇 / 赵薇 Wei Zhao,剧情 / 爱情,中国大陆,汉语普通话,将爱 电影版 / 对你爱爱爱不完(豆友取名) / Eternal Moment
神奇侠侣 神奇俠侶,2011,谷德昭,冯勉恒 / 谷德昭,古天乐 / 吴君如 / 李菁 / 王柏杰 / 何沄伟 / 文章 / 杜汶泽 Chapman To / 李沁,喜剧 / 古装,中国大陆 / 中国香港,粤语,Mr. and Mrs. Incredible
武林外传,2011,尚敬,宁财神,闫妮 / 姚晨 / 沙溢 / 喻恩泰 / 倪虹洁 / 姜超 / 肖剑 / 岳跃利 / 王磊 / 午马,喜剧 / 动作 / 古装,中国大陆,汉语普通话,武林外传电影版 / My Own Swordsman The Movie
青蜂侠 The Green Hornet,2011,米歇尔·贡德里,埃文·戈德堡 / 塞斯·罗根 / 乔治·W·特伦德尔,塞斯·罗根 / 周杰伦 / 卡梅隆·迪亚兹 / 克里斯托弗·瓦尔兹 / 汤姆·威尔金森 / 大卫·哈伯 / 爱德华·詹姆斯·奥莫斯 / 杰米·哈里斯 / 乍得·科尔曼 / 爱德华·福隆 / 詹姆斯·弗兰科,喜剧 / 动作 / 犯罪,美国,英语 / 汉语普通话,
好家伙 GoodFellas,1990,马丁·斯科塞斯,马丁·斯科塞斯 / 尼古拉斯·派勒吉,罗伯特·德尼罗 / 雷·利奥塔 / 乔·佩西 / 洛南·布雷科 / 保罗·索维诺 / 弗兰克·西维罗 / 托尼·戴劳 / 迈克·斯塔尔 / 弗兰克·文森特 / 查克·洛 / 弗兰克·迪莱奥 / 亨利·扬曼 / 吉娜·马斯特罗吉科莫 / 凯瑟琳·斯科塞斯 / 查尔斯·斯科西斯 / 苏珊妮·谢泼德 / 黛比·玛扎 / 塞缪尔·杰克逊,剧情 / 传记 / 犯罪,美国,英语 / 意大利语,盗亦有道(港) / 四海好家伙(台)
美丽中国 Wild China,2008,Phil Chapman / Gavin Maxwell,,Bernard Hill,纪录片,英国 / 中国,英语 / 汉语普通话,锦绣中华 / 野性中国 / 神秘中国(台)
星月无尽 星月無盡,2009,唐振瑜,林乃文,杨贵媚 / 陈意涵 / 陈正伟 / 吴中天 / 黄世元 / 唐丰 / 亚里 / 帏帏 / 马国毕,剧情 / 爱情,中国台湾,汉语普通话,"Our Island, Our Dreams"
