scriptwriter_id,scriptwriter_name,rank,Label
0,倪匡,104,scriptwriter
1,王晶,66,scriptwriter
2,查理·卓别林,63,scriptwriter
3,司徒安,42,scriptwriter
4,阿涅斯·瓦尔达,40,scriptwriter
5,张彻,39,scriptwriter
6,伍迪·艾伦,36,scriptwriter
7,吕克·贝松,35,scriptwriter
8,黑泽明,29,scriptwriter
9,李翰祥,28,scriptwriter
10,让-吕克·戈达尔,26,scriptwriter
11,罗伯托·罗西里尼,24,scriptwriter
12,子母泽宽,24,scriptwriter
13,斯坦·李,22,scriptwriter
14,伊恩·弗莱明,22,scriptwriter
15,陈嘉上,21,scriptwriter
16,游乃海,21,scriptwriter
17,徐克,20,scriptwriter
18,楚原,20,scriptwriter
19,依田义贤,20,scriptwriter
20,刘镇伟,19,scriptwriter
21,比利·怀尔德,19,scriptwriter
22,黄炳耀,19,scriptwriter
23,乔治·卢卡斯,19,scriptwriter
24,谷德昭,17,scriptwriter
25,米开朗基罗·安东尼奥尼,16,scriptwriter
26,彭浩翔,16,scriptwriter
27,克日什托夫·基耶斯洛夫斯基,16,scriptwriter
28,庄文强,15,scriptwriter
29,陈庆嘉,15,scriptwriter
30,杰克·科比,15,scriptwriter
31,王风,15,scriptwriter
32,宫崎骏,14,scriptwriter
33,王家卫,14,scriptwriter
34,黄百鸣,14,scriptwriter
35,文隽,14,scriptwriter
36,阮世生,14,scriptwriter
37,古龙,14,scriptwriter
38,费德里科·费里尼,13,scriptwriter
39,张坚庭,13,scriptwriter
40,程刚,13,scriptwriter
41,英格玛·伯格曼,13,scriptwriter
42,西尔维斯特·史泰龙,13,scriptwriter
43,理查德·麦鲍姆,13,scriptwriter
44,特里·鲁西奥,12,scriptwriter
45,斯坦利·库布里克,12,scriptwriter
46,邓景生,12,scriptwriter
47,邹静之,12,scriptwriter
48,士郎正宗,12,scriptwriter
49,阿尔弗雷德·希区柯克,12,scriptwriter
50,Vincent Bryan,12,scriptwriter
51,小津安二郎,12,scriptwriter
52,斯蒂芬·金,11,scriptwriter
53,李敏,11,scriptwriter
54,张炭,11,scriptwriter
55,查尔斯·布拉克特,11,scriptwriter
56,吴炜伦,11,scriptwriter
57,乔尔·科恩,11,scriptwriter
58,戴维·贝尼奥夫,11,scriptwriter
59,司徒锦源,11,scriptwriter
60,邱刚健,11,scriptwriter
61,刘浩良,11,scriptwriter
62,尔冬升,11,scriptwriter
63,艾玛·雷维尔,11,scriptwriter
64,韦家辉,11,scriptwriter
65,克里斯托弗·诺兰,10,scriptwriter
66,麦兆辉,10,scriptwriter
67,J. K. 罗琳,10,scriptwriter
68,曾瑾昌,10,scriptwriter
69,小国英雄,10,scriptwriter
70,吉尔莫·德尔·托罗,10,scriptwriter
71,吕奇,10,scriptwriter
72,野田高梧,10,scriptwriter
73,张家鲁,10,scriptwriter
74,罗伯特·马克·卡门,10,scriptwriter
75,冯志强,10,scriptwriter
76,陈建忠,10,scriptwriter
77,司徒卓汉,10,scriptwriter
78,谭广源,10,scriptwriter
79,大卫·凯普,10,scriptwriter
80,Maverick Terrell,10,scriptwriter
81,大卫·S·高耶,9,scriptwriter
82,本·赫克特,9,scriptwriter
83,泰德·艾略特,9,scriptwriter
84,吴宇森,9,scriptwriter
85,黄建新,9,scriptwriter
86,黄浩华,9,scriptwriter
87,史蒂夫·迪特寇,9,scriptwriter
88,成龙,9,scriptwriter
89,邹凯光,9,scriptwriter
90,尼尔·珀维斯,9,scriptwriter
91,罗伯特·韦德,9,scriptwriter
92,贾樟柯,9,scriptwriter
93,陈凯歌,9,scriptwriter
94,吕冠南,9,scriptwriter
95,克里斯托弗·马库斯,9,scriptwriter
96,斯蒂芬·麦克菲利,9,scriptwriter
97,杜国威,9,scriptwriter
98,保罗·安德森,9,scriptwriter
99,李碧华,8,scriptwriter
100,斯蒂文·泽里安,8,scriptwriter
101,安德鲁·斯坦顿,8,scriptwriter
102,杰夫·内桑森,8,scriptwriter
103,昆汀·塔伦蒂诺,8,scriptwriter
104,周星驰,8,scriptwriter
105,陈文强,8,scriptwriter
106,霍昕,8,scriptwriter
107,是枝裕和,8,scriptwriter
108,雷·沃纳尔,8,scriptwriter
109,图里奥·皮内利,8,scriptwriter
110,恩尼奥·弗拉亚诺,8,scriptwriter
111,罗耀辉,8,scriptwriter
112,阿斯哈·法哈蒂,8,scriptwriter
113,洪常秀,8,scriptwriter
114,D·B·威斯,8,scriptwriter
115,乔治·马丁,8,scriptwriter
116,盖瑞·斯科特·汤普森,8,scriptwriter
117,大卫·林奇,8,scriptwriter
118,伊桑·科恩,8,scriptwriter
119,邢爱娜,8,scriptwriter
120,陈大利,8,scriptwriter
121,拉斯·冯·提尔,8,scriptwriter
122,欧健儿,8,scriptwriter
123,黄子桓,8,scriptwriter
124,克里斯托弗·麦奎里,8,scriptwriter
125,梁鸿华,8,scriptwriter
126,叶广俭,8,scriptwriter
127,艾瑞克·罗斯,7,scriptwriter
128,詹姆斯·卡梅隆,7,scriptwriter
