movie_name,rank
肖申克的救赎,9.7
霸王别姬,9.6
阿甘正传,9.5
泰坦尼克号,9.4
这个杀手不太冷,9.4
美丽人生,9.6
千与千寻,9.4
辛德勒的名单,9.6
盗梦空间,9.4
星际穿越,9.4
忠犬八公的故事,9.4
楚门的世界,9.3
海上钢琴师,9.3
三傻大闹宝莱坞,9.2
机器人总动员,9.3
放牛班的春天,9.3
无间道,9.3
疯狂动物城,9.2
大话西游之大圣娶亲,9.2
熔炉,9.3
控方证人,9.6
教父,9.3
当幸福来敲门,9.2
触不可及,9.3
怦然心动,9.1
龙猫,9.2
末代皇帝,9.3
寻梦环游记,9.1
蝙蝠侠：黑暗骑士,9.2
活着,9.3
哈利·波特与魔法石,9.2
指环王3：王者无敌,9.3
乱世佳人,9.3
素媛,9.3
飞屋环游记,9.1
我不是药神,9.0
摔跤吧！爸爸,9.0
何以为家,9.1
十二怒汉,9.4
哈尔的移动城堡,9.1
少年派的奇幻漂流,9.1
鬼子来了,9.3
猫鼠游戏,9.1
大话西游之月光宝盒,9.0
天空之城,9.1
让子弹飞,9.0
钢琴家,9.3
指环王2：双塔奇兵,9.2
闻香识女人,9.1
天堂电影院,9.2
海蒂和爷爷,9.3
罗马假日,9.1
黑客帝国,9.1
指环王1：护戒使者,9.1
大闹天宫,9.4
死亡诗社,9.1
教父2,9.3
绿皮书,8.9
辩护人,9.2
狮子王,7.2
搏击俱乐部,9.0
饮食男女,9.2
美丽心灵,9.1
本杰明·巴顿奇事,9.0
窃听风暴,9.2
穿条纹睡衣的男孩,9.2
情书,8.9
两杆大烟枪,9.1
西西里的美丽传说,8.9
看不见的客人,8.8
音乐之声,9.1
拯救大兵瑞恩,9.1
飞越疯人院,9.1
小鞋子,9.2
阿凡达,8.8
哈利·波特与死亡圣器(下),8.9
沉默的羔羊,8.9
致命魔术,8.9
禁闭岛,8.9
海豚湾,9.3
布达佩斯大饭店,8.9
蝴蝶效应,8.9
美国往事,9.2
心灵捕手,8.9
低俗小说,8.9
春光乍泄,9.0
摩登时代,9.3
喜剧之王,8.8
七宗罪,nan
功夫,8.8
致命ID,8.8
哈利·波特与阿兹卡班的囚徒,8.9
超脱,9.0
杀人回忆,8.9
加勒比海盗,8.8
红辣椒,9.1
被嫌弃的松子的一生,8.9
狩猎,9.1
请以你的名字呼唤我,8.9
7号房的礼物,8.9
剪刀手爱德华,8.7
断背山,8.8
勇敢的心,8.9
唐伯虎点秋香,8.7
一一,9.1
哈利·波特与密室,8.8
入殓师,8.9
第六感,8.9
爱在黎明破晓前,8.8
重庆森林,8.8
天使爱美丽,8.7
蝙蝠侠：黑暗骑士崛起,8.8
幽灵公主,8.9
菊次郎的夏天,8.9
小森林,7.5
阳光灿烂的日子,8.9
超能陆战队,8.7
完美的世界,9.1
爱在日落黄昏时,8.9
无人知晓,9.1
消失的爱人,8.7
借东西的小人阿莉埃蒂,8.9
甜蜜蜜,8.9
倩女幽魂,5.4
侧耳倾听,8.9
时空恋旅人,8.8
幸福终点站,8.8
驯龙高手,8.8
萤火之森,8.9
怪兽电力公司,8.8
教父3,9.0
玛丽和马克思,8.9
一个叫欧维的男人决定去死,8.9
寄生虫,8.8
玩具总动员3,8.9
